src	trg	nij	score
4	0	413974	1.0
5	0	68343	0.92199704951504
6	0	32070	0.8220675280086672
14	0	165918	0.9869373999978579
15	0	79725	0.8445768250296174
19	0	17323	0.6001168778671393
23	0	444603	0.9999999837936882
30	0	60457	0.98144938409458
31	0	47490	0.9771256039195224
37	0	26042	0.5952389582483566
41	0	39203	0.9036416782730574
47	0	17742	0.5576246525397434
52	0	304169	0.9999959931166437
63	0	73894	0.9974605084847856
65	0	119890	0.963433638614769
74	0	83312	0.9988915988212356
78	0	94230	0.999301423463492
79	0	36249	0.7377244282715745
80	0	10690	0.5073643709086267
89	0	98151	0.8249348755259949
97	0	52708	0.794189670282047
105	0	20903	0.9742841507097574
136	0	10857	0.5107369181657578
137	0	12192	0.5595185767232729
139	0	55272	0.7318883394981619
143	0	8768	0.6507572293594351
10	1	76502	0.9221485372185635
18	1	477675	0.999999900415443
19	1	158017	0.9998131587273372
20	1	484332	0.9999999999999993
21	1	198683	0.9995991735674121
33	1	18519	0.6230571011266495
36	1	99953	0.9880384021776512
37	1	30261	0.6505924660473026
41	1	469780	0.9999999999999654
42	1	24499	0.9015927853573174
49	1	68730	0.9948879257917495
50	1	241205	0.9999999999999983
56	1	113572	0.9984924268084258
57	1	60636	0.9652110041910267
58	1	137268	0.9999970608734368
59	1	451203	0.9999999999999696
60	1	154181	0.9956374347730671
64	1	20380	0.5533418155653356
71	1	16315	0.5101041728254401
15	2	322854	0.9995425712215589
26	2	80713	0.9397576929519849
27	2	181517	0.9985568924119304
28	2	176481	0.9982520596029953
29	2	157065	0.9906951916325374
44	2	143319	0.972020014959101
45	2	327350	0.9999999996672856
65	2	40642	0.671502078049005
66	2	106720	0.9219463722254374
68	2	27190	0.78738733203469
76	2	132695	0.9999504635876989
89	2	64577	0.6815127064338381
102	2	47393	0.7856465970806653
103	2	28006	0.5810039676323399
119	2	40249	0.9113332436658991
139	2	48565	0.6852524641387644
142	2	22833	0.7124291714653995
11	3	156734	0.9998636942500516
16	3	138935	0.9999997769785635
17	3	55286	0.9946276196459733
25	3	497974	0.999999974080627
27	3	311933	0.99998911633635
28	3	106805	0.9778350965499479
32	3	23008	0.9546546566593422
33	3	17759	0.6076075910913041
35	3	96060	0.9998358500206346
