src	trg	nij	score
4	0	430450	1.0
5	0	16025	0.5333484612465536
14	0	297675	0.998522837021709
15	0	38894	0.5177798227789243
23	0	499847	0.9999999651986886
30	0	54344	0.9753588964955349
31	0	17055	0.9775896982717414
52	0	279672	0.9999971308869909
53	0	24872	0.5478597561788416
62	0	68399	0.9815713548979582
63	0	203183	0.9999998831267335
65	0	18135	0.5956411523590524
18	1	329295	0.9999978199901498
20	1	212849	0.9999554843626922
21	1	64706	0.9203061266910083
36	1	32410	0.783895911083176
41	1	217098	1.0
43	1	24618	0.5822611765965431
50	1	158593	0.9999999999141592
56	1	38640	0.928303552994393
58	1	124064	0.9998142425995259
59	1	17560	0.7502395107858865
60	1	36791	0.7312129812604962
7	2	226965	0.9999898357432696
15	2	375322	0.9992531153927515
26	2	90692	0.9706172584844459
27	2	239885	0.9997033908230427
28	2	246686	0.9996983690360789
29	2	145149	0.996686914338639
44	2	242549	0.9994137307910245
45	2	571791	0.9999999999999999
65	2	42765	0.8828444007831837
66	2	155811	0.9926054831319296
68	2	22813	0.7091315300761175
11	3	166802	0.9999876086429017
16	3	32295	0.9348818242491528
25	3	283114	0.9998004842571648
27	3	195701	0.9986231752621291
28	3	93853	0.9514979078506771
32	3	36101	0.9794267871481067
35	3	32043	0.8560980121834446
40	3	93378	0.9889187134065831
44	3	207413	0.9982337575726006
47	3	58432	0.9561654645410373
48	3	330412	0.9999967937296521
66	3	49500	0.7851487471768739
67	3	42108	0.7175443606922381
73	3	40216	0.9919659677169559
0	4	328368	0.999999999998104
5	4	29900	0.7595897532045877
14	4	143603	0.9551331549127496
15	4	225419	0.9861596223204252
30	4	86650	0.9974285215127991
31	4	11895	0.9284275094366927
52	4	113320	0.9934232171928291
65	4	17314	0.578670340843258
69	4	99660	0.9993698813204078
0	5	13313	0.6304654233843137
4	5	21882	0.897227328249768
6	5	213845	0.9999994904042054
7	5	37751	0.8420740886333036
15	5	1013883	0.9999999985557307
30	5	79235	0.9956630745935241
31	5	54128	0.999996154576627
38	5	6904	0.5584257461023371
46	5	15631	0.7321251215664641
61	5	9185	0.6875933329410122
62	5	82986	0.9922636581492069
63	5	16894	0.715371274765211
65	5	359584	0.9999999948986317
69	5	586454	1.0
79	5	414599	0.9999998016668715
80	5	22337	0.6726491830968966
139	5	173728	0.9993369190286908
2	6	18760	0.6040090200897981
5	6	269408	0.9999984713747326
7	6	456257	0.9999999999690714
13	6	13935	0.6898620378219406
15	6	1087105	0.9999999997053364
45	6	13647	0.5358503810816759
61	6	10070	0.720883261684595
65	6	166513	0.9998030486706222
68	6	35032	0.8505834785729639
80	6	375922	0.9999999982615652
81	6	29632	0.8039203619937262
139	6	39093	0.8011002345065901
2	7	240981	0.9999958996363216
5	7	73132	0.9701634713327125
6	7	320307	0.9999999997941474
8	7	157945	0.9999999949594041
9	7	7629	0.5328767941455339
15	7	746931	0.9999995898605614
29	7	33011	0.7214438592599619
44	7	45003	0.7410698706850334
45	7	359361	0.9999999996422965
65	7	192532	0.9999504268490396
70	7	9919	0.5995443764365374
80	7	24052	0.699663550045851
81	7	192037	0.9999827980413302
82	7	17463	0.6934743736630747
139	7	144379	0.9976562707567307
7	8	195754	0.999947590015738
9	8	25830	0.9253174967731496
29	8	117261	0.9898923165931276
45	8	118667	0.9989064054705326
64	8	20227	0.5769936988387808
65	8	110954	0.9964106355329596
70	8	245842	0.9999999999838386
72	8	36188	0.5319791799813514
82	8	84980	0.9972302723771281
139	8	24514	0.6359930455839868
144	8	17153	0.6194529665279931
8	9	31708	0.9722060028113626
22	9	10898	0.5786690687876714
29	9	37836	0.7691392757614478
43	9	492507	0.9999999917091074
57	9	10342	0.5351731937474375
60	9	80855	0.9452552581421998
64	9	81094	0.9692837033202161
65	9	293131	0.9999997890924176
83	9	99137	0.9999976502249666
139	9	365033	0.9999998665448158
19	10	547076	1.0
21	10	173453	0.9989880228431722
29	10	43903	0.8177633489454577
43	10	645712	0.9999999999853769
57	10	91085	0.9990011839433247
64	10	539618	0.9999999999870535
84	10	38648	0.798947354591037
3	11	148965	0.9999643223958146
13	11	196821	0.9999999803054689
15	11	177863	0.9654860193245927
32	11	25521	0.9348562043050685
33	11	31695	0.8203980437097496
34	11	8415	0.615437999990593
39	11	153194	0.9999999999987281
48	11	565134	0.9999999998281701
51	11	215577	0.9996976108189466
53	11	68695	0.8896644116563345
67	11	166311	0.994133799056445
13	12	32249	0.9346217307944944
23	12	176834	0.9969952413681309
38	12	210615	0.9999999999993048
46	12	199922	0.9999999840758693
61	12	17999	0.8987517472687905
11	13	169583	0.9999898305424033
12	13	30658	0.9820969259895562
15	13	49113	0.6021212428924294
38	13	260287	0.9999999999999997
39	13	166976	0.9999999999999327
48	13	84712	0.9559894341118095
51	13	179015	0.9987544567086841
52	13	21206	0.6038164397503087
61	13	123654	0.9999999413616547
0	14	258144	0.9999999990245012
4	14	131451	0.9999993796065303
15	14	409918	0.999622516956519
23	14	63700	0.8726508733005163
28	14	58913	0.8491546495180101
38	14	13085	0.7886372927637282
48	14	19116	0.5024296963125204
51	14	1127832	1.0
52	14	1611543	1.0
53	14	990388	0.9999999999999998
61	14	190605	0.999999999997433
67	14	343518	0.9999846664935066
68	14	309976	0.9999999821011161
0	15	14960	0.6734529104848819
2	15	505963	0.9999999999988379
4	15	216446	0.9999999999753394
5	15	991431	1.0
6	15	759574	1.0
7	15	648630	0.9999999999999998
11	15	232237	0.9999998914322153
12	15	7303	0.6115425909683463
13	15	99478	0.9998210924344028
14	15	378811	0.9997639299819078
16	15	22545	0.8504614015038703
23	15	36907	0.695729641379969
28	15	68709	0.8901502781064569
38	15	50459	0.9977852057375811
39	15	17211	0.9317756157584929
44	15	25129	0.5289917437229188
45	15	16880	0.6132573408257069
46	15	11215	0.6108267471144277
48	15	186122	0.9990584012535597
51	15	226257	0.9998006890851718
52	15	226697	0.9999645847819626
53	15	1193782	1.0
60	15	24603	0.584020923703556
61	15	105289	0.9999991963187588
62	15	15086	0.5811788546269214
63	15	20820	0.7878140042035078
65	15	91654	0.9902917116213272
67	15	91127	0.9371279498076199
68	15	364123	0.9999999993876171
69	15	160885	0.9999945949790374
76	15	9857	0.5167905515535325
81	15	13880	0.5325315322112701
89	15	87970	0.7997258855488354
3	16	22908	0.7809941187400874
17	16	185299	0.9999990819829605
22	16	27430	0.8876538950434645
23	16	30417	0.6246061654575613
34	16	89937	0.9999744808871748
40	16	46070	0.8887608453527005
46	16	83853	0.9992749203333117
47	16	364558	0.999999999154205
48	16	355453	0.9999988357425944
62	16	47724	0.9375590695136596
12	17	5391	0.5020517476978776
16	17	228041	0.9999999990700449
23	17	67217	0.8864609924859023
38	17	9760	0.6856523044222367
46	17	411454	1.0
47	17	51102	0.9348333957026569
48	17	557780	0.9999999997633344
62	17	68211	0.9813647513568113
1	18	291900	0.9999999999878254
19	18	77145	0.9959976561085131
24	18	153960	0.9847722227640895
41	18	42497	0.9998420285809795
56	18	989337	1.0
57	18	551386	1.0
58	18	185397	0.9999979643828865
72	18	451955	0.9999439251109039
10	19	479125	0.9999999999795766
18	19	84089	0.9592735031976003
26	19	105325	0.9835093319026749
41	19	6594	0.7317879128218544
43	19	53495	0.8510134385368607
55	19	81222	0.9128243383666488
56	19	19342	0.7307303308211083
57	19	337469	0.9999999999990623
64	19	107773	0.9904263907260658
1	20	324034	0.9999999999994438
21	20	157002	0.9980221899654088
22	20	106700	0.9998351659043925
36	20	24386	0.6836987290239422
49	20	277741	0.9999999668021443
50	20	124173	0.9999999807730525
58	20	150451	0.9999727342034925
59	20	339249	0.9999999999998955
60	20	929790	1.0
1	21	33978	0.9320729108500114
10	21	153789	0.9993693794389079
20	21	137665	0.9983132126716011
22	21	124623	0.999963946060058
29	21	25484	0.6268092407127099
41	21	96920	0.999999999251554
43	21	852845	0.9999999999999983
50	21	323193	1.0
60	21	780402	0.9999999999999715
