src	trg	nij	score
2	0	9665	0.5524585456189902
4	0	501813	1.0
5	0	77625	0.9641163691535438
6	0	120777	0.9995721216540873
7	0	13240	0.5840422729425923
14	0	207493	0.9974134572440927
15	0	150654	0.964514662372768
16	0	15580	0.7547045543217701
17	0	98525	0.9994884688986557
20	0	15193	0.5894077392794608
21	0	51652	0.8320400821608605
22	0	49845	0.9933643370398799
23	0	571511	0.9999999999999367
26	0	21776	0.509520201592528
27	0	16664	0.5425802071273399
29	0	17557	0.5564634495945797
30	0	124727	0.9999618894066697
31	0	76913	0.9999722412186747
34	0	53261	0.9971729674978416
42	0	22047	0.9174488263046318
44	0	19914	0.5143606317422107
46	0	54518	0.9949949868936591
47	0	46863	0.8958481960529784
49	0	48406	0.9713103089707099
52	0	159879	0.9999696686767238
53	0	35560	0.7529745591114859
60	0	47096	0.9036344287753383
62	0	150962	0.9997560699211174
63	0	85423	0.999673924718047
65	0	139126	0.9909013151047199
70	0	11384	0.5669464070201311
74	0	14200	0.7514744938058269
76	0	9234	0.6241542272535552
78	0	23864	0.8605222555066923
79	0	38837	0.7649103756400263
89	0	59126	0.7463093492139867
104	0	16600	0.7599103250661325
135	0	6577	0.5361767085918905
139	0	113771	0.9601995830824361
143	0	13288	0.9463839656767123
10	1	21110	0.571004162405325
18	1	541750	0.9999999976229916
19	1	37529	0.8796557300426803
20	1	221205	0.9999987139366456
21	1	94419	0.9623134947664631
33	1	13201	0.5466122139299487
34	1	7037	0.5330371902131397
36	1	122877	0.9959727971266584
41	1	241513	0.9999998512985387
47	1	24866	0.6975367851552516
50	1	394920	1.0
56	1	322197	0.9999999983826187
57	1	41837	0.9109352859556298
58	1	343923	0.9999999999999987
59	1	354021	0.9999999999994121
71	1	64594	0.9823817589153926
7	2	108333	0.9993505070269929
8	2	24246	0.9182581028223269
15	2	473390	0.9999787784132278
26	2	99116	0.9620433872429714
27	2	116384	0.9961394941326901
28	2	141488	0.9987649485127409
29	2	68881	0.9598850054966952
44	2	200916	0.9994244523171157
45	2	425931	1.0
65	2	30882	0.6430318900868623
66	2	203857	0.9977820666853865
68	2	21418	0.8222164454351271
70	2	11735	0.5780101059186527
76	2	66436	0.9992468661937088
89	2	42010	0.6221453418837535
100	2	20134	0.6324458989679674
102	2	19631	0.5393053214850188
119	2	17187	0.7533084314825178
139	2	63360	0.8324633118988126
11	3	99747	0.994279403154038
16	3	47258	0.9865657091621998
25	3	366476	0.9999991613353635
27	3	238296	0.9999910725630767
28	3	109727	0.9942929449320128
32	3	129537	0.9999998874500234
35	3	9019	0.5624249831293459
40	3	81415	0.9894763710842417
44	3	155472	0.9967801793275508
48	3	191090	0.9996179082940125
55	3	30356	0.5658010131482958
66	3	122185	0.973490424128768
0	4	373006	1.0
5	4	54715	0.9033809770642511
6	4	33176	0.8762363725311222
14	4	96337	0.9350871310092777
15	4	243939	0.9956827236637595
30	4	69095	0.9960221891321733
52	4	208130	0.9999988960962718
53	4	19838	0.5408173476023963
65	4	26849	0.5914605328380962
69	4	56368	0.9923694383808369
74	4	11253	0.6678420491105567
76	4	7612	0.5534521946587052
78	4	11620	0.6154886591190634
135	4	8141	0.6138562005170097
4	5	15519	0.8231463978143946
6	5	326775	0.9999999997304563
7	5	23935	0.7960040342927583
15	5	753573	0.9999999755582446
30	5	59832	0.9915258109017858
31	5	132195	0.9999999913227282
62	5	48565	0.927329406460519
65	5	367679	0.9999971461703657
69	5	421166	1.0
79	5	145087	0.9958569831677895
139	5	272794	0.9996116646772603
5	6	465643	0.9999999994336811
7	6	191731	0.9999982496604082
15	6	497905	0.9999881132901381
65	6	220788	0.9994636849236144
80	6	20057	0.7348544828195926
2	7	111081	0.9999266717033437
6	7	244234	0.9999999024000573
8	7	195716	0.999999999588071
15	7	239226	0.9951943730834985
39	7	3570	0.5066683528696263
45	7	192955	0.9999999963857192
53	7	23196	0.5976720086963371
65	7	248226	0.9997954275156906
70	7	38948	0.9440531639820634
82	7	13031	0.7834698680760629
2	8	14963	0.7125196806341335
6	8	12530	0.5441378347187439
7	8	248148	0.9999999722615773
9	8	51123	0.9955974363893603
29	8	119111	0.996327984960047
45	8	147547	0.9999995529264544
65	8	299375	0.9999666533943882
70	8	379557	0.9999999999999607
82	8	103795	0.9999969036094131
103	8	23628	0.6509411027238899
119	8	12129	0.6270552995961551
144	8	64620	0.9899167955524854
8	9	56640	0.9973171467124327
21	9	25557	0.585176729628726
22	9	63240	0.9983292831962565
29	9	98381	0.9901023566324707
43	9	367582	0.9999883388039635
60	9	101582	0.9938746332296167
64	9	52511	0.9189889778653543
65	9	362768	0.9999965896722338
70	9	9679	0.5089675241467608
83	9	14754	0.9273909928831309
84	9	35816	0.7943051873529008
92	9	23981	0.6038261739133444
93	9	17392	0.6215580400034701
130	9	11741	0.5619818739165215
131	9	13618	0.5287076005332743
134	9	16018	0.5328298207707038
138	9	24082	0.6822785416365091
139	9	172385	0.992651072793536
1	10	65790	0.9792393604690658
9	10	31756	0.964771471313898
18	10	30716	0.6519992774546473
19	10	479553	0.9999999999998795
20	10	17463	0.6407180617784392
21	10	181948	0.9983172063078061
29	10	61415	0.9429573562610464
41	10	91200	0.9967423672461548
43	10	1209045	1.0
56	10	12490	0.5180440253146055
57	10	99799	0.9970957526682696
64	10	626844	0.999999999999997
65	10	32322	0.6598337867985773
84	10	161764	0.9993174267036625
92	10	25192	0.6219833325740225
95	10	30883	0.745164299460475
103	10	23396	0.6473019218798803
117	10	66664	0.8919564741091713
131	10	13196	0.5175631321510894
138	10	27370	0.7285134113176331
3	11	245249	0.999999990085622
13	11	191385	0.9999999968959897
14	11	359380	0.9999720096257281
15	11	271593	0.9977015485087795
16	11	24874	0.894688406428699
17	11	84765	0.9984857446969979
25	11	33641	0.7057706251763405
26	11	29956	0.6250196121081427
27	11	33671	0.7950462222649538
28	11	124829	0.9972380060910006
32	11	42112	0.9931628014184307
33	11	33044	0.8630638098313178
34	11	26638	0.9452271554382401
39	11	133834	0.999999999999889
47	11	50597	0.9131575080446678
48	11	499715	0.9999999995954553
51	11	317731	0.9999908888508549
52	11	12177	0.5338668616482554
53	11	83676	0.9635963608965892
55	11	58138	0.798523942286391
61	11	5582	0.5626725043228025
66	11	102320	0.9518531232554374
67	11	518205	0.9999999999995542
68	11	18443	0.773704262051611
13	12	69015	0.9988297907906247
17	12	80440	0.9978741331204148
23	12	148186	0.9993116314034207
24	12	43190	0.797388994602177
25	12	67873	0.9162748276799509
27	12	47515	0.8937455955095086
28	12	31474	0.7684517348814287
34	12	13349	0.7649771255552615
37	12	20957	0.6058775745043934
