src	trg	nij	score
2	0	23491	0.781015442390947
4	0	279356	0.9999999999978408
5	0	128021	0.9802481045161898
6	0	40435	0.8665454061613517
14	0	381454	0.9994068121771112
15	0	137607	0.9298092337872641
21	0	21509	0.5519175382290424
22	0	28340	0.7883240278242989
23	0	411841	0.9999992608906247
27	0	34316	0.7069134596996436
30	0	156177	0.9999426852689309
31	0	57068	0.9847925953780504
40	0	38859	0.7718972677247846
44	0	46436	0.6861209826449088
52	0	426264	0.9999999363294222
60	0	25955	0.6583400961278583
61	0	24786	0.9584108116267266
62	0	22588	0.720630860807781
63	0	230144	0.9999999434209512
64	0	24216	0.6277472504511948
65	0	96141	0.9289874777521204
69	0	52553	0.9679752144613991
74	0	60341	0.9897993970663569
78	0	59907	0.9818401140027401
139	0	26644	0.5050821106171689
18	1	699385	0.9999999899867673
19	1	19023	0.5350026634410632
20	1	288742	0.999940578330546
21	1	58572	0.8888781654916705
36	1	39812	0.8075909920248108
41	1	325401	0.9999999467311295
50	1	316729	0.9999999974581938
56	1	164739	0.9946831829999532
57	1	23994	0.7129840651748807
58	1	66675	0.9890282777143355
59	1	146778	0.9997144604490511
60	1	44777	0.8440595964609952
71	1	190403	0.9998942074580893
0	2	18309	0.6598274216899623
4	2	9284	0.5578878020861741
7	2	17437	0.6511796693842458
8	2	16664	0.8230030289954192
15	2	401535	0.9996259420774009
26	2	314676	0.9999122190514419
27	2	156316	0.9965901750392904
28	2	173529	0.9919344622023374
29	2	541278	0.9999999939555068
40	2	21793	0.5626307637152663
44	2	201001	0.9938128374683607
45	2	501629	0.9999999999999999
65	2	43488	0.695915822298464
66	2	120229	0.9430417251587552
68	2	43755	0.8297277343812864
70	2	11398	0.5367163236776917
103	2	172295	0.9939887458283514
119	2	20368	0.7789055210005099
144	2	46232	0.8984534427693722
11	3	194809	0.9999779027305945
16	3	11622	0.6305790711775558
25	3	451017	0.9999996755303464
26	3	27023	0.5411766400490403
27	3	248820	0.999894477620488
28	3	196425	0.9957829816746849
40	3	62771	0.9088392379959134
44	3	429986	0.9999850309896943
48	3	296363	0.9999443990298182
55	3	26842	0.5044829662202823
66	3	230203	0.9960734880342952
0	4	470414	0.9999999999999496
5	4	122841	0.9768006927347871
6	4	18761	0.6058112353930585
14	4	224358	0.9867288976420772
15	4	422983	0.9997575816677389
23	4	40719	0.7371512120552233
30	4	123053	0.9995168289886099
52	4	281519	0.9999773520647983
61	4	13064	0.8111572428589207
65	4	45870	0.7151912526792863
69	4	87311	0.9968667427197523
74	4	10178	0.5337558396790962
78	4	35710	0.9070605082142326
0	5	34559	0.870244551271544
4	5	34621	0.9534702622721682
6	5	717270	1.0
7	5	86269	0.9949486809255004
8	5	12387	0.7233614397074113
13	5	18851	0.7257714306466294
15	5	1116449	0.999999999906402
23	5	36394	0.6968924205374825
30	5	70358	0.9865952360822026
31	5	116195	0.9998257937959287
61	5	32444	0.9846633657743563
62	5	22824	0.724346624491305
65	5	656464	0.9999999948940836
69	5	462272	0.9999999999999978
79	5	211903	0.9930071338249012
80	5	40955	0.8621993998046243
81	5	20508	0.7137053667730126
105	5	17471	0.9590121667127808
139	5	257031	0.9990228491930692
5	6	556322	0.9999999829032645
7	6	276870	0.9999999797456295
11	6	20317	0.6606428830089008
13	6	54021	0.9762639206527656
15	6	383207	0.9994586630389982
39	6	21083	0.8951274314396331
61	6	14882	0.850493544652577
65	6	337078	0.9999245237094861
139	6	34094	0.5936906436251455
5	7	60110	0.839500108670887
6	7	501506	0.9999999999985238
8	7	217712	0.9999999999793753
9	7	16463	0.6805078081642162
11	7	26563	0.7569799164165617
13	7	22349	0.7845917005714705
15	7	232725	0.9891271257125002
29	7	30957	0.6386118402718083
39	7	17322	0.8427609415044517
45	7	304858	0.9999999993758447
65	7	404880	0.9999896423624942
70	7	58413	0.9815547267759525
81	7	12330	0.5279431154398917
82	7	18786	0.8179947498111181
2	8	21069	0.7437041380179297
6	8	27237	0.7416660859510558
7	8	305078	0.9999999970730316
9	8	98057	0.9990245498181262
29	8	93243	0.9543931976010227
45	8	138061	0.9998998331619904
65	8	305504	0.9998114125635598
70	8	422965	0.9999999999999896
82	8	25893	0.9049910293554817
144	8	17431	0.5760347309219177
7	9	64668	0.980659341540989
8	9	166788	0.9999999901080682
22	9	130585	0.9993237627980738
29	9	162496	0.9955931827278456
33	9	18564	0.5426695968315302
34	9	11030	0.5238442654945266
42	9	16527	0.7084314818497901
43	9	248080	0.9979808888902448
45	9	27312	0.8305073875599343
65	9	546096	0.9999998485767703
70	9	44077	0.9502817973297792
83	9	9223	0.7504917426257467
139	9	141493	0.977053848198423
19	10	871092	1.0
21	10	400453	0.9999998584221318
29	10	320944	0.9999818790619885
41	10	168054	0.9997664718258785
43	10	926643	0.9999999999807564
64	10	540317	0.9999999999564225
84	10	41985	0.8019025528074055
103	10	33581	0.6256694308864453
3	11	378751	0.9999999999660898
6	11	58063	0.9450301193144193
7	11	59806	0.9738809245909825
13	11	268118	0.9999999971059823
14	11	96260	0.840879079114764
15	11	391934	0.9995459731986821
17	11	27737	0.8748611312381301
25	11	97832	0.9554019290361415
26	11	40238	0.6870167787234773
27	11	19952	0.5094560000608206
28	11	62137	0.8186121483252147
35	11	44206	0.8969134199991273
39	11	295846	0.9999999999999997
40	11	91077	0.9694549260420425
48	11	761717	0.9999999999973787
51	11	513552	0.9999999221559742
53	11	36852	0.5240899238516226
65	11	25646	0.5038439533008648
67	11	658728	0.9999999999904418
68	11	28285	0.6807081940321582
13	12	72025	0.9933325225124069
17	12	46450	0.9697347505473645
23	12	202725	0.998861157715352
38	12	256835	1.0
46	12	41528	0.9868036142102278
61	12	26100	0.9649357203365349
63	12	17198	0.6930234771188766
0	13	13313	0.5430896610452995
4	13	10605	0.6065121976011362
5	13	82592	0.9195147959229338
6	13	119134	0.9975632579813228
7	13	24872	0.7779035284447795
11	13	280035	0.9999998448690595
12	13	61427	0.9999920875402931
14	13	83526	0.7967959803432936
15	13	300176	0.997144644651396
17	13	48927	0.9749454937598289
23	13	44765	0.7699869190013897
34	13	21995	0.7731479474905284
38	13	312597	1.0
39	13	524467	1.0
46	13	15024	0.7878872646513749
47	13	20821	0.5713317165140086
48	13	362358	0.9999942873004832
51	13	450612	0.9999993534382986
61	13	123802	0.9999999427078945
65	13	83570	0.8993723156267968
67	13	24646	0.5805501854643655
0	14	346587	0.9999999996952909
4	14	237305	0.9999999998275646
6	14	51924	0.9250889076200024
11	14	42947	0.8991650365049348
13	14	28883	0.8629390454687489
15	14	751376	0.9999997319555416
23	14	101290	0.9648049609903283
28	14	291978	0.9997274234957845
51	14	1659096	1.0
52	14	1654723	1.0
53	14	2161642	1.0
61	14	158060	0.9999999996127552
67	14	786601	0.9999999999999619
68	14	232944	0.9999397912324215
0	15	191549	0.9999916968197821
2	15	363833	0.9999999999918668
