src	trg	nij	score
2	0	21873	0.7001681537775437
4	0	241308	0.9999999999984327
5	0	25176	0.6959854943127566
9	0	7526	0.5199994493202547
14	0	186931	0.9906814855109504
15	0	61782	0.7276390833659869
23	0	498290	0.999999997364792
30	0	50604	0.9836531246219233
31	0	6351	0.7090177913430431
33	0	23866	0.6819651097790792
42	0	14296	0.6705804901394148
44	0	22816	0.5312664854559148
50	0	10199	0.7020800022006013
52	0	197173	0.9998224976395708
60	0	35255	0.7030609484997916
61	0	8469	0.7127999158095552
62	0	17454	0.6344337752790794
63	0	97785	0.9997267792551614
65	0	53542	0.8476140615469849
74	0	58216	0.9961856563786468
78	0	56092	0.98551237863369
79	0	101503	0.9698732332201675
89	0	63634	0.6921105642001765
104	0	16135	0.7097686762484317
139	0	79395	0.9165762348855393
143	0	26332	0.8903476301201905
9	1	7142	0.5016357435772824
18	1	727892	0.9999999999997431
19	1	87808	0.9882404467652574
20	1	435508	0.9999999892252844
21	1	48248	0.8656681301860447
36	1	81644	0.982812548866576
41	1	668298	1.0
49	1	23250	0.7392564409974325
50	1	145607	0.9999999908519119
56	1	78511	0.9985744439727506
57	1	69740	0.9964323123880532
58	1	127015	0.9999740429400322
59	1	24285	0.8416285843812222
60	1	85846	0.9490395252799164
7	2	72500	0.9889192742851707
15	2	451614	0.9999439847066548
26	2	94782	0.981880270791267
27	2	253255	0.9999656827951846
28	2	237813	0.9998354641600771
29	2	363044	0.9999990760988418
33	2	19401	0.6056750231327857
37	2	18826	0.5171443164235073
44	2	285115	0.999942606606313
45	2	361821	0.9999999999999633
47	2	16993	0.5258126854124473
65	2	55558	0.8581037024965185
66	2	129152	0.9801972805766017
68	2	19644	0.7653222259471231
70	2	53234	0.9973784396031367
76	2	10181	0.5744250749777915
83	2	3735	0.5079304744844769
103	2	24124	0.6161222353809994
119	2	40970	0.9585074470626309
139	2	94967	0.949007867052787
144	2	10810	0.5002811058881004
11	3	164373	0.9999802758413029
16	3	32635	0.9479766673034654
24	3	89380	0.9587309041918128
25	3	581976	0.9999999997010188
27	3	206316	0.9997549544624592
28	3	109240	0.9804607397877978
32	3	17408	0.8419655056185305
33	3	29986	0.763267575664184
35	3	74968	0.9982321547981103
37	3	21073	0.5574394323502623
40	3	267652	0.9999999696827911
44	3	307171	0.9999737845936999
48	3	296867	0.9999869744596969
54	3	22898	0.8684240770215694
55	3	66420	0.8732670375961897
66	3	104145	0.9573158077432485
67	3	22128	0.7086919666083074
72	3	40163	0.5625979810662456
73	3	26029	0.9434672441532295
0	4	278777	0.9999999997711162
5	4	89289	0.9860097032875365
13	4	10426	0.6180730743748535
14	4	117785	0.9464855422525513
15	4	437135	0.9999225181664572
30	4	50000	0.9828180917208599
52	4	153092	0.9987170514839405
61	4	4732	0.5012670032471022
65	4	37246	0.729133623200525
69	4	162702	0.9999986434904161
74	4	11566	0.6634199876662411
78	4	26780	0.8654170387888852
79	4	44065	0.7790246891005066
89	4	42361	0.5430222732666314
139	4	23709	0.5215547651901259
0	5	16226	0.699151923273673
4	5	71336	0.9994453876315188
6	5	402877	0.9999999999999828
7	5	43470	0.931599168204033
8	5	7284	0.6321714516713202
9	5	31917	0.9567116475293198
15	5	792659	0.9999999784030627
29	5	31339	0.682928406380727
30	5	187705	0.9999998765511272
31	5	37574	0.9994298056263081
45	5	10186	0.5447460187420834
62	5	63826	0.9756644554232006
65	5	376037	0.9999989476577867
69	5	622510	1.0
70	5	12963	0.7594866842994357
79	5	160329	0.9962007831839544
139	5	32022	0.6308685854827578
5	6	268006	0.9999981987076345
7	6	315370	0.9999999990046625
8	6	11526	0.7953308404060251
15	6	468745	0.9999618762090672
65	6	174911	0.9980486209776324
70	6	15614	0.8206005450586732
81	6	17520	0.656827814713266
2	7	103649	0.9969703555536715
5	7	102314	0.992577306683014
6	7	451730	0.9999999999999998
8	7	179026	0.999999999998606
9	7	12999	0.7192191928612452
15	7	297089	0.99827879590204
29	7	52064	0.8523969496316568
45	7	395035	0.9999999999999984
65	7	235768	0.9997913851392174
70	7	40714	0.9891523222527961
81	7	27605	0.8152816014896173
139	7	58706	0.8399728857581565
6	8	16028	0.6770377027743504
7	8	161782	0.9999647297290268
9	8	83622	0.9997712942682597
29	8	97661	0.9729388153227769
45	8	75181	0.9972888261924463
65	8	207777	0.9994140974606851
70	8	123332	0.9999992949667074
82	8	18934	0.8703735456365609
5	9	16599	0.543377748487505
8	9	78663	0.9999870818011545
10	9	44998	0.8884478823027128
19	9	61004	0.9536669201313472
21	9	19655	0.5569365031788791
22	9	49467	0.948605606870237
29	9	40464	0.773447869157153
42	9	23477	0.8393057619811098
43	9	250898	0.9998443415312356
64	9	186025	0.9988525268302015
65	9	439668	0.9999999105492877
83	9	13652	0.9264279532709002
93	9	20674	0.6652889875446241
117	9	27135	0.6493567304693797
138	9	19978	0.6618963443840682
139	9	237850	0.9994862684570964
9	10	8349	0.5571250543707871
19	10	581508	0.9999999999999917
21	10	121909	0.994102947021308
41	10	89464	0.9969387618203326
43	10	796974	0.9999999999999089
64	10	708131	0.999999999999054
84	10	15254	0.5781246222823324
3	11	209695	0.9999965811684023
12	11	20164	0.9615962121605127
13	11	200283	0.999999997347124
14	11	31560	0.5408894428893942
15	11	130222	0.9364079361198692
16	11	89846	0.9997499322622194
17	11	62552	0.9934591383968044
25	11	103762	0.9743988060729635
28	11	36912	0.73219380933413
33	11	40616	0.8584429220682861
35	11	57073	0.9917574303388623
37	11	20227	0.5426760299770201
38	11	30257	0.9775501092428007
39	11	100423	0.99999999993158
40	11	22911	0.7524557281327536
44	11	28986	0.6183720036161007
48	11	949225	1.0
51	11	324510	0.9999993638187052
52	11	17403	0.5233894239093714
53	11	217403	0.9992982191816008
66	11	35324	0.6541701886874853
67	11	167019	0.9999341044656933
68	11	18647	0.7473104802034382
72	11	42513	0.5833177158263341
73	11	12244	0.739120693077142
11	12	42475	0.9341361874924505
13	12	49106	0.989867279858007
17	12	84134	0.9988945888738288
23	12	162019	0.9978292238582519
25	12	23831	0.5653691943180192
38	12	175739	0.9999999999487912
39	12	34696	0.9995038033240907
44	12	32406	0.659517354143256
46	12	310338	0.9999999999805336
48	12	93458	0.9680645474587475
61	12	10631	0.7915128241998359
66	12	26264	0.5455666530923473
3	13	13935	0.550872075359369
4	13	18835	0.856376298358063
11	13	185123	0.9999952760063872
12	13	34294	0.9962682923295441
14	13	41125	0.6376916387832593
15	13	191232	0.9828282957888724
16	13	8706	0.5427390451997549
17	13	74183	0.9974838428936547
23	13	18894	0.5043824900824347
24	13	31856	0.6762372851348457
25	13	31882	0.6723786195581544
27	13	30169	0.6939510706322478
28	13	45726	0.8048363824794986
38	13	327618	1.0
39	13	232297	1.0
44	13	51604	0.8208365948184216
46	13	9935	0.5149695840716659
47	13	16310	0.5113398521825342
48	13	301866	0.9999893081762223
51	13	288555	0.9999966710447409
52	13	33394	0.7596083564323088
53	13	173883	0.9969035728339248
55	13	26580	0.5608352689425269
61	13	141443	0.9999999998269197
66	13	58021	0.8259364369683284
68	13	18078	0.7364227855816596
0	14	266268	0.9999999993300174
4	14	100613	0.9999773461879287
13	14	22557	0.8764106076880538
15	14	547711	0.9999936163745593
23	14	106997	0.9820611560954929
51	14	1264577	1.0
52	14	1655730	1.0
53	14	759208	0.9999999999984697
61	14	228121	1.0
67	14	365281	0.9999999997525564
68	14	110586	0.9997688445147621
79	14	34779	0.6958399848642978
89	14	50444	0.6066431830456833
0	15	106222	0.9996822391144045
2	15	536120	0.9999999999999948
4	15	460086	1.0
5	15	1051121	1.0
6	15	636760	1.0
7	15	628319	1.0
8	15	5544	0.5325604410128337
9	15	37366	0.9748560028074086
11	15	180599	0.9999935408454803
12	15	6101	0.6239737599501465
13	15	92016	0.9998384636621924
14	15	555767	0.9999994370934301
23	15	46369	0.8225036914476987
28	15	38957	0.7511349782745913
29	15	64068	0.9053838194750212
38	15	6535	0.5556077423097026
43	15	28881	0.625198513543235
44	15	23344	0.5394356749603939
45	15	48519	0.9773330532253872
51	15	137882	0.9972173069049931
52	15	127948	0.9960846558675975
53	15	1502110	1.0
61	15	42039	0.9981762149954513
65	15	335328	0.9999950159258956
67	15	23212	0.725858412213449
68	15	140275	0.9999777279139269
69	15	179958	0.9999997016174997
70	15	21918	0.910871309149381
74	15	11174	0.6507175048641656
76	15	12685	0.6553543223435512
78	15	22143	0.8091424615822987
79	15	139145	0.991963570956654
80	15	162739	0.9998721188419465
81	15	91041	0.9964811484191798
83	15	10140	0.8553685880874013
89	15	356754	0.9988093871879755
100	15	28713	0.6749068499242636
103	15	40048	0.7966655101116826
119	15	48612	0.9772623101580449
139	15	368381	0.9999932591618358
144	15	16888	0.6621850211075142
3	16	39579	0.8983466786711231
11	16	105614	0.9989552207106351
17	16	248243	0.9999999993232344
22	16	13015	0.5391132193470745
23	16	34506	0.7232231290293635
26	16	20197	0.5706395428046158
32	16	21406	0.8969193662068609
33	16	40111	0.854936184687067
34	16	78751	0.9983124513408977
35	16	42511	0.9715096800816261
40	16	133722	0.9997672310742365
46	16	37141	0.9344523235260762
47	16	404588	0.9999999938576225
48	16	363172	0.9999990721213262
62	16	59067	0.9677844147792724
73	16	35744	0.980962196741783
11	17	47777	0.9532740340996938
12	17	103508	0.9999999777563743
13	17	26101	0.9112664897283342
16	17	315137	0.9999999999999801
23	17	116824	0.9876700352782238
34	17	8753	0.5011289145720048
38	17	125850	0.9999999343285769
39	17	12616	0.9337378301257014
46	17	625707	1.0
47	17	85745	0.9777432500927131
48	17	693576	0.9999999999992042
62	17	92259	0.995499907934078
63	17	32063	0.928560470449837
1	18	538216	0.9999999999999974
19	18	123632	0.9981577726018627
20	18	20289	0.5436963492810901
24	18	132285	0.9912976718573802
26	18	104629	0.9881309814465986
33	18	32554	0.7908879657196989
36	18	37416	0.8424701570680719
37	18	37043	0.7621276019558167
41	18	123658	0.9996881985955148
42	18	15669	0.7040419634450376
47	18	39078	0.8212391393164274
49	18	32191	0.8450977016097472
55	18	53337	0.809156315841424
56	18	903449	1.0
57	18	505120	1.0
58	18	323361	0.9999999999996527
59	18	43046	0.9624981940474132
63	18	11614	0.6133594605821531
64	18	27636	0.6268357220111145
72	18	531812	0.9999882089954842
1	19	104909	0.9973137961429527
9	19	33525	0.963115604225366
10	19	804211	1.0
13	19	7896	0.5172963998589126
18	19	239711	0.9998642882405142
21	19	43083	0.8332159629164781
22	19	35072	0.8772570149538071
26	19	134639	0.9967555102581134
29	19	34392	0.7166322893618022
31	19	4294	0.5654514845676784
33	19	31325	0.7780934131765908
34	19	14721	0.6901109560816023
36	19	17820	0.584083478657181
37	19	27629	0.6568970274761265
38	19	7114	0.5865175215431673
41	19	131718	0.9998191061560503
42	19	18804	0.7683259754425054
43	19	357026	0.999996795836869
47	19	88336	0.9801920253402758
55	19	129874	0.9829029033267975
56	19	83048	0.9990335352479569
57	19	407289	0.9999999999999999
58	19	30262	0.9130455961410704
59	19	10500	0.5478641153887728
60	19	35137	0.7018460531534718
62	19	12081	0.5013004276573086
63	19	14253	0.688721311477466
64	19	399743	0.9999996834338727
65	19	38167	0.7377815993445708
72	19	48976	0.6354088727273792
75	19	18149	0.7146750553075818
93	19	29758	0.7936247677575665
138	19	27920	0.7808073501220946
139	19	32158	0.6324331451743264
1	20	487517	0.99999999999991
21	20	127455	0.995353876600809
22	20	128236	0.9996042548743865
41	20	39551	0.9200808672215234
49	20	302756	0.9999999926389429
50	20	113521	0.9999993116657752
56	20	28497	0.90383774641632
58	20	134642	0.9999865963684271
59	20	446111	1.0
60	20	713945	0.9999999999983262
1	21	30203	0.8131792599156358
10	21	107383	0.994983856406264
19	21	28068	0.7546516594469241
20	21	228509	0.9998999539264686
22	21	102837	0.998062095104653
41	21	272279	0.9999999908385727
42	21	9798	0.5323754449924039
43	21	827810	0.9999999999999752
50	21	343204	1.0
60	21	1032389	1.0
63	21	12769	0.6483462773068014
64	21	38244	0.7448543563877561
9	22	55862	0.9960864079010049
16	22	17497	0.7934277257954836
17	22	9733	0.5374134342023047
20	22	171297	0.9989126313285395
21	22	149758	0.9982267751881149
31	22	4770	0.6039235384940429
34	22	307984	0.9999999999977511
42	22	360663	0.9999999999999702
43	22	237762	0.9997501657277698
47	22	22933	0.6350115148110962
49	22	193612	0.9999913112410113
60	22	514556	0.9999999941500463
62	22	153642	0.9998904249133184
64	22	37226	0.7353619864390114
0	23	430762	0.9999999999999998
2	23	37396	0.873248942922687
4	23	25204	0.9259437519454355
5	23	27408	0.7265758249847505
9	23	11999	0.6902689818750535
12	23	197683	0.9999999999999998
13	23	10007	0.602959507543665
14	23	147036	0.9743846021471881
15	23	121834	0.9239370516889946
16	23	22865	0.8731229344072184
17	23	109404	0.9998660562662192
19	23	29926	0.7765534886590391
21	23	19518	0.5544075086915375
22	23	23952	0.7604544045045889
24	23	20540	0.5162052032867859
26	23	36457	0.783396588470201
28	23	35606	0.7193554279742701
29	23	31206	0.6813729120213048
30	23	163559	0.9999989396933611
31	23	56888	0.9999895861383792
33	23	35753	0.8208582250287882
34	23	35584	0.942089395221367
37	23	21019	0.5565113944685967
38	23	8626	0.6575339699846178
41	23	20328	0.7253854422352877
42	23	14560	0.6772937273806166
43	23	41992	0.7604938470056162
44	23	57977	0.855319638144902
45	23	9732	0.5284529847095796
46	23	441645	0.9999999999999999
47	23	69550	0.9539800110406701
50	23	40541	0.9924363676420069
52	23	39738	0.8169418940646154
53	23	24666	0.5529525565698649
60	23	57675	0.8636246132567079
61	23	252285	1.0
62	23	644782	1.0
63	23	960158	1.0
65	23	84169	0.9486276119869034
66	23	41920	0.7166220786315814
68	23	20207	0.7749241885301393
71	23	12579	0.5597018054101816
74	23	14689	0.7495266111849754
78	23	16127	0.7000962771880157
79	23	65178	0.8934204208161516
97	23	24198	0.5787443182310945
104	23	11209	0.5760657480496226
105	23	8075	0.6870833090246666
136	23	12387	0.5111663377366957
3	24	53520	0.9549916391958333
11	24	11972	0.5329747310907278
18	24	130640	0.991631396076745
25	24	553487	0.9999999990481371
26	24	169592	0.9992941208665851
37	24	63074	0.9140271444416439
38	24	8727	0.6618209830705286
39	24	3686	0.544794156073813
47	24	18950	0.5649665695588073
54	24	429698	1.0
55	24	1017184	0.9999999999999997
57	24	70925	0.9967647931955798
58	24	25383	0.8707002012815935
66	24	86731	0.927312757875524
67	24	16154	0.5930982385410584
71	24	21828	0.7598338250878094
72	24	1231142	0.9999999999991162
3	25	628639	1.0
11	25	77808	0.9934213392047362
16	25	48407	0.9878127995549754
17	25	20716	0.8071695372806404
24	25	431821	0.9999999007272697
27	25	68223	0.9322920619252723
32	25	7088	0.5267648857484205
33	25	78896	0.9781183762456892
35	25	446500	1.0
37	25	105045	0.9835890547764845
40	25	388846	0.9999999999947095
47	25	24670	0.6619351677563403
48	25	144711	0.995344204154553
54	25	342582	0.9999999999999994
55	25	254256	0.9996913116030975
66	25	1053282	0.9999999999999997
67	25	15326	0.573837892389157
71	25	38971	0.9224329704017168
72	25	489054	0.9999696419061378
73	25	19155	0.8785400415673288
