src	trg	nij	score
4	0	607557	1.0
5	0	31496	0.7069692391362765
14	0	103771	0.9637780710333838
16	0	12487	0.6698357227019205
17	0	16856	0.7095864207203617
22	0	12903	0.6937445952650894
23	0	543748	0.999999988159965
30	0	96257	0.9995193833346341
31	0	52675	0.9925829382042648
34	0	18667	0.8189084441896073
46	0	42635	0.9575629809591812
52	0	63338	0.9958024923641603
61	0	10227	0.7637570051133961
62	0	135534	0.9998400832539143
63	0	195635	0.9999915775728652
10	1	33802	0.809725093351791
12	1	10017	0.725720505768829
13	1	62192	0.9982548083801348
18	1	397069	0.9999982714271133
19	1	69129	0.9829985769210942
20	1	492582	0.999999999999992
21	1	276607	0.9999991462494757
31	1	8059	0.5224866565703641
33	1	68130	0.949479158352681
34	1	11423	0.6476102258286027
36	1	109659	0.9943279530668055
37	1	72212	0.9542936334946868
38	1	32455	0.9910958342729498
39	1	6868	0.8082342452382607
41	1	442350	0.9999999999999999
42	1	29844	0.9578700378992334
43	1	37859	0.7042452064530313
47	1	20857	0.6468813746353816
48	1	40517	0.8105557177665299
49	1	84078	0.9994433824369661
50	1	370686	1.0
56	1	68892	0.9908078180354336
57	1	88276	0.9932305348217111
58	1	194463	0.9999984078047859
59	1	203570	0.9999991637643009
60	1	132022	0.9984186707179579
71	1	60271	0.9499341208147092
72	1	54007	0.6024679232836669
7	2	151668	0.9999945798763328
15	2	310910	0.9999110136290592
26	2	173214	0.9946549046581137
27	2	130403	0.992670759973264
28	2	159013	0.9958632705761553
29	2	114158	0.9948955967278944
44	2	147728	0.9842233306168029
45	2	503645	1.0
66	2	191465	0.997153599635345
76	2	15275	0.7558519876824926
119	2	14231	0.612758346150855
11	3	181564	0.9999978982943812
14	3	55096	0.8265687303515793
16	3	131074	0.999994726938678
25	3	395465	0.9999999381353873
27	3	257319	0.9999489552841135
28	3	245761	0.9998116168691286
32	3	94000	0.9999854330191222
34	3	8907	0.5562865755493012
35	3	31464	0.9318184732291848
37	3	33195	0.7558982744918704
40	3	139063	0.9985579533896631
44	3	305825	0.9998396138325629
47	3	73211	0.9749720769293
48	3	501228	0.9999999997550314
58	3	13874	0.5923056318728205
66	3	77197	0.9029369227098397
67	3	161618	0.998612576944533
72	3	54913	0.6085923462009909
73	3	70878	0.9999915991288431
0	4	802277	1.0
5	4	80937	0.9582402823084332
14	4	71787	0.8984342446853316
15	4	213551	0.9982388016513226
23	4	24526	0.5360163195586354
30	4	114274	0.9998912761431871
31	4	42576	0.9807504189342762
52	4	186652	0.9999999489416381
61	4	13841	0.8586711669255417
62	4	44065	0.9373521503946685
65	4	94721	0.960231849437706
69	4	100995	0.9998172421938032
0	5	31397	0.8546781666024016
4	5	66369	0.9980665490495665
6	5	374544	0.9999999999266823
7	5	41912	0.9611964973134934
8	5	9984	0.7341080139735869
15	5	1098490	0.9999999999999998
30	5	24587	0.8512436528556818
31	5	43840	0.9829102275197422
65	5	395951	0.9999991521096813
69	5	351105	0.9999999999999966
79	5	242738	0.9997986389314998
135	5	6611	0.5204456904318331
139	5	276944	0.9999081655987806
143	5	12680	0.6925569841777255
5	6	398216	0.9999999209747026
7	6	210357	0.9999999628338483
15	6	295987	0.9998588195486067
65	6	354232	0.9999960538277014
80	6	11927	0.5773624913045188
139	6	61881	0.8681737677558359
2	7	70925	0.9976689537538328
5	7	39337	0.7844809778779517
6	7	409405	0.9999999999932075
8	7	88215	0.9999948506796863
9	7	24006	0.8752706259955159
15	7	213881	0.9982563541311991
29	7	36749	0.8132665277931936
45	7	413119	0.9999999999999977
65	7	224424	0.9995731695869089
70	7	30936	0.9430319350600639
81	7	14493	0.6479556864262692
7	8	105140	0.9997502675386892
9	8	72148	0.9982527216554086
29	8	135912	0.998173812554883
43	8	26274	0.5701687784649654
45	8	111538	0.9997599950306255
64	8	27028	0.5962608906820718
65	8	158147	0.9955926435332112
70	8	253699	0.9999999999912926
82	8	51528	0.9965733222674621
7	9	33590	0.9255909094314654
8	9	111098	0.9999998184609531
22	9	20080	0.8421014423608424
29	9	106615	0.992722301613725
43	9	183870	0.9975560205134606
45	9	10537	0.5355017371723365
64	9	62009	0.876253604400362
65	9	404955	0.999999392877397
70	9	11659	0.6579754131867033
83	9	55585	0.9991947761578786
84	9	15833	0.5640139965944058
117	9	39149	0.738482677322531
138	9	55592	0.8956378529439877
139	9	205277	0.9989220662025035
1	10	13930	0.5987555810086209
9	10	17832	0.7863353673056284
13	10	6947	0.5010170365166325
18	10	47201	0.779229195604095
19	10	719627	1.0
20	10	14008	0.5608926454131433
21	10	279432	0.9999992653276729
22	10	29002	0.9309995267843336
29	10	42841	0.8588791574411251
33	10	32436	0.7567179779958071
37	10	22014	0.6068805030616335
41	10	64354	0.9919087562848236
42	10	18628	0.8603217935890224
43	10	1168119	1.0
56	10	34317	0.9009391117377139
57	10	90165	0.9939295385902077
60	10	83630	0.9825963582623473
64	10	724617	0.999999999997133
72	10	41051	0.5037316123458414
84	10	77039	0.9831667147953312
117	10	22218	0.5321797729914848
3	11	239704	0.9999991822697001
7	11	10911	0.5677699459228894
13	11	139257	0.9999995640669425
14	11	240856	0.999600237168563
16	11	15717	0.7525184772514562
17	11	69792	0.9944745476435438
25	11	41068	0.8042854653811164
28	11	53625	0.8389829243589186
32	11	54768	0.9983031231533063
33	11	86233	0.9773866045725563
34	11	26253	0.9101430191900637
35	11	27022	0.9000715862877638
39	11	112127	0.9999999999999116
40	11	32210	0.7738608108852864
47	11	63573	0.959107567817327
48	11	771656	0.9999999999999997
51	11	307930	0.9999857271582459
67	11	495358	0.9999999995241894
73	11	6910	0.6656584219760642
13	12	52871	0.9953938836719344
14	12	29488	0.6074014862889391
17	12	9812	0.5124214503840796
23	12	193317	0.9979415116994541
38	12	223950	0.9999999999999999
46	12	82774	0.9980421687819983
51	12	30929	0.6608513393673604
61	12	76779	0.9999869748325715
1	13	17284	0.6782574842944913
3	13	43316	0.9113970473178845
11	13	172264	0.9999957642940938
12	13	70673	0.9999228291974789
14	13	228550	0.9993973379130457
15	13	64673	0.8491791593489024
17	13	182938	0.9999992461923137
23	13	56120	0.8286711998596288
25	13	69403	0.9372230612074537
26	13	30667	0.598440944339142
27	13	48467	0.8356542751853946
28	13	66408	0.8961904939843395
33	13	38190	0.8109519742019795
34	13	11948	0.6641709573765731
35	13	14514	0.7084173486730219
36	13	19831	0.6018819853695061
37	13	54539	0.9021424644782537
38	13	177923	0.9999999999995868
39	13	116809	0.9999999999999787
