src	trg	nij	score
3	0	50664	0.946302797236021
4	0	314682	0.999999999999998
5	0	36657	0.7331851384482875
6	0	30046	0.8150832830133277
11	0	16425	0.6794078663116088
13	0	10977	0.5495340551210246
14	0	106013	0.9202334524518417
15	0	62884	0.7084736819546349
23	0	302824	0.9999941795847551
28	0	33958	0.6992643926955011
30	0	65535	0.9936738149151211
31	0	6347	0.7317262737779628
35	0	24323	0.8492731081117024
37	0	19363	0.5417593040449458
39	0	6395	0.7180093182898427
45	0	14175	0.6073641622219048
48	0	18654	0.5143308857373585
52	0	67636	0.9772050327804248
61	0	5884	0.662503388237045
62	0	7760	0.5136145539164044
63	0	36538	0.963156845890368
65	0	41880	0.7023510238339865
69	0	12092	0.6563848901149454
74	0	77440	0.9995003875502418
78	0	67476	0.9899780859310131
79	0	27415	0.6012385635403215
105	0	5818	0.9279010302614684
135	0	5380	0.506087659545771
139	0	32165	0.5993256075700759
143	0	22063	0.9140455866847982
9	1	22574	0.8317599238006229
13	1	13625	0.6286185737013127
18	1	336307	0.9999998878533101
19	1	27552	0.8178353175556756
20	1	426193	0.9999999999478094
21	1	141760	0.9979404087551988
36	1	123348	0.9965503942039592
39	1	8050	0.7971563261446353
41	1	359770	0.999999999989928
43	1	31216	0.6504473541623605
47	1	32340	0.7606894442883592
49	1	47817	0.9626108526181896
50	1	232428	0.9999999999999244
56	1	470169	0.9999999999999991
57	1	27644	0.7953900363790098
58	1	142863	0.9999945699188477
59	1	252628	0.9999999994610314
60	1	71220	0.9463774586939743
64	1	20101	0.6003471520142363
71	1	57965	0.9308562050885096
72	1	55440	0.6370950580955821
92	1	36387	0.7889410547263649
93	1	53993	0.9637974568886515
94	1	24782	0.7879018359722643
115	1	110595	0.9943704345786297
131	1	17880	0.7936991001853326
7	2	75168	0.9921864734092217
8	2	42679	0.9887351505460166
15	2	242127	0.9918087145417486
26	2	255761	0.9998387092268413
27	2	183059	0.9995952064739103
28	2	119361	0.9859910809456659
29	2	322710	0.9999909841079697
44	2	220726	0.9981955830162068
45	2	543386	1.0
65	2	121477	0.971083899901771
66	2	56906	0.8260986079094748
70	2	58168	0.9911989308152536
73	2	8566	0.6650997939959106
76	2	227482	0.9999991643526367
81	2	16898	0.6557779371732402
98	2	36461	0.6611369925906446
99	2	38578	0.7767960717960285
101	2	32852	0.7231277696131095
103	2	139240	0.9949592577215316
107	2	14473	0.5463910607809799
109	2	21233	0.7519455055831625
118	2	29012	0.5502346956757449
119	2	122260	0.9989617152525873
121	2	15612	0.612676401765308
128	2	8159	0.5307928701992077
139	2	127851	0.9745369515102219
144	2	34011	0.9293800621838981
