src	trg	nij	score
2	0	1796	0.07910382351194678
3	0	2391	0.14137498256126757
4	0	208508	0.9999999995996007
5	0	44709	0.8141610715152626
9	0	3347	0.2538773232858814
13	0	531	0.05275520175719084
14	0	232638	0.9930092938055688
16	0	578	0.057940070504990615
17	0	5980	0.3847968408014466
18	0	1427	0.06889710948628425
19	0	970	0.11440294197817058
21	0	2356	0.14500541857209115
22	0	7620	0.3971175531191913
23	0	242315	0.9999997572045132
24	0	1661	0.05683798861062339
26	0	1660	0.0702884265261714
29	0	7835	0.26828729905172644
30	0	26784	0.9411752994586409
31	0	6651	0.776834026364579
34	0	5240	0.4437282881525344
36	0	541	0.05267952208107085
37	0	2649	0.14165163903381595
38	0	2064	0.22492926462305574
40	0	1632	0.10019092390684403
42	0	661	0.100257351311277
43	0	11697	0.3694522564721202
44	0	1915	0.05184427551283499
45	0	1110	0.07200463796997725
46	0	18784	0.8332804394836156
47	0	17047	0.6248172168787004
48	0	3028	0.1246015512623887
49	0	3371	0.2437120155571202
50	0	818	0.13805817160018252
52	0	174711	0.9994594902929489
54	0	2024	0.17761836502431627
55	0	4248	0.1450441510994842
56	0	3701	0.2705715397043732
57	0	5631	0.417443195874008
59	0	2870	0.30401594854739833
60	0	7766	0.27738064403098817
61	0	6755	0.6577346103322531
62	0	9850	0.5745217821721376
63	0	75304	0.9993193972912982
64	0	5234	0.21435988923929528
65	0	62001	0.8781826496177652
69	0	147146	0.9999910080370148
70	0	3983	0.3163427596113654
71	0	4482	0.32516944166360484
72	0	41149	0.5945465760289346
73	0	627	0.07086168847117713
74	0	2725	0.22337675132977897
78	0	8124	0.4542917812975983
79	0	16847	0.42892411125416274
89	0	3611	0.05983850997543616
96	0	1609	0.10082759857846768
99	0	1572	0.05909435843672073
104	0	781	0.08193459269959313
105	0	9109	0.8083543638062911
108	0	2126	0.13244345782199118
109	0	1003	0.06986081132006738
114	0	1208	0.05149728883491811
116	0	522	0.059743187390213115
121	0	1675	0.08727536115658074
128	0	669	0.07456666423659153
129	0	2388	0.07136051814270239
131	0	512	0.05129896766405018
136	0	1063	0.08833397985619651
137	0	680	0.05893588024413621
139	0	14839	0.3598474718083401
146	0	2761	0.06645678355741425
18	1	48975	0.9156106998703873
20	1	328230	0.9999996009657927
21	1	4679	0.2675099481584542
36	1	23636	0.9080660811887715
41	1	1603	0.9999681538526862
49	1	2487	0.1861830135814918
50	1	72049	0.999999123602725
56	1	10251	0.5833991333345102
58	1	308943	0.9999999999999912
59	1	25358	0.9607490479173799
60	1	6040	0.22322404913086413
71	1	718	0.06098920594795587
72	1	3504	0.07378984755198759
3	2	8824	0.4306878388461066
7	2	77777	0.9890044342905443
8	2	1221	0.14082051301328113
13	2	1257	0.12043958205646688
15	2	454731	0.9997269829690723
16	2	1929	0.18069117914859478
17	2	3018	0.21726831909942212
25	2	2855	0.08408338648256497
26	2	73576	0.9618699343695528
27	2	268140	0.999925978326431
28	2	329768	0.9999842016281647
29	2	86644	0.9695705119430792
44	2	370789	0.9999773041344775
45	2	476710	0.9999999999999999
48	2	7338	0.2758147882757571
51	2	1446	0.06020548001073156
52	2	1272	0.05198516222399008
55	2	6391	0.2100816421294146
61	2	485	0.07384087466634692
65	2	24444	0.5623651612335794
66	2	151672	0.995953663381238
67	2	1975	0.1068070827658274
68	2	16071	0.6254940275076575
70	2	1062	0.09634059135650097
76	2	1689	0.10402671482436854
81	2	13666	0.5770230214995211
89	2	10455	0.16366273269223208
99	2	3573	0.12932406859326595
101	2	1474	0.05093795083666486
103	2	10955	0.3219426435472764
114	2	3734	0.15082457326539644
118	2	13310	0.30210958794936627
119	2	14803	0.5827405455978869
139	2	4151	0.11718327954359298
140	2	1476	0.05000887634014861
144	2	2792	0.16079060109180887
0	3	545	0.0527296835399077
2	3	6205	0.24791920787057853
5	3	1592	0.05784900848612118
7	3	2355	0.12583252913141585
11	3	190442	0.9999988470235074
12	3	459	0.07495993288169578
13	3	1677	0.15738017680620553
14	3	2597	0.05302062337827895
15	3	8606	0.14018586571342107
16	3	36107	0.977129663765834
17	3	17875	0.7671051655259349
24	3	1811	0.06181015172164406
25	3	382272	0.9999953722268229
27	3	202666	0.9991969425441845
28	3	133108	0.9872144830157664
32	3	9703	0.6543139122238391
33	3	6650	0.3652897552429266
35	3	78219	0.9958049281373605
38	3	439	0.05271493511026626
39	3	356	0.06863753357510372
40	3	209887	0.9999993657012518
44	3	263221	0.9994516101323865
45	3	943	0.06151002497542102
46	3	2808	0.2338274393295815
47	3	31187	0.8344758501571572
48	3	370290	0.9999999683332871
51	3	2167	0.08886593297447665
52	3	4472	0.17119826275381156
55	3	1625	0.05816415857349255
61	3	774	0.11523948217680102
65	3	2445	0.07913986663535211
66	3	20887	0.5258387501066198
67	3	21883	0.7154001174421782
72	3	9118	0.18090197669923536
73	3	19089	0.895125171321149
76	3	5008	0.27816017529180315
77	3	1073	0.06334561419308615
81	3	5780	0.30460782673297504
99	3	14194	0.4235905454806719
114	3	3667	0.14832843242693128
118	3	14780	0.32932729709977693
119	3	6355	0.31242710403996254
140	3	2322	0.07754452246887711
0	4	203414	0.9999999996531537
5	4	194619	0.9994315041499175
6	4	4446	0.22851855315422953
9	4	651	0.05532633405595544
14	4	119050	0.9194294845253057
15	4	347889	0.9980413081846363
17	4	1762	0.1332165586895544
21	4	1012	0.06505690417824694
23	4	3254	0.17634891936908648
29	4	3893	0.14368996795438593
30	4	68605	0.999379700372137
31	4	327	0.07073436183340442
34	4	532	0.057699329585120473
37	4	1175	0.06548808885816215
43	4	4611	0.1660784410823194
46	4	2039	0.1758109373367841
47	4	5357	0.2646052037553105
50	4	468	0.08146405941426726
52	4	79299	0.9654827796739403
55	4	1803	0.06432759516022257
56	4	1156	0.09377393167705428
57	4	2250	0.19398203336310793
59	4	592	0.07195597633622375
60	4	1552	0.06280435195957368
61	4	1184	0.17083727841132001
63	4	1206	0.10762397350932662
64	4	1930	0.08507564998424066
65	4	5845	0.1789530218614146
69	4	304236	0.9999999999884087
70	4	1840	0.16101299662117163
71	4	1382	0.11409856057503032
72	4	7592	0.15306826288501096
78	4	1595	0.11193367497841256
79	4	3066	0.09678650875814843
105	4	1299	0.20898399768333553
139	4	1900	0.05543992080585036
0	5	69806	0.9991829349474188
2	5	3844	0.16174787172806449
3	5	5452	0.2937563535074271
4	5	309725	0.9999999999999971
6	5	353615	0.9999999998184732
7	5	13738	0.5444802536569635
8	5	16577	0.8744578238337991
9	5	6450	0.4315949071883405
11	5	1519	0.09872221461425568
13	5	4343	0.35847319346619455
14	5	177256	0.9768587143730296
15	5	1383901	0.9999999999971539
16	5	1001	0.0982184079185906
17	5	2345	0.1732906081026101
18	5	1115	0.05424755841579609
19	5	856	0.10166206676434675
22	5	3078	0.18468874649063882
23	5	10648	0.47051182783017065
24	5	1753	0.05989067504051104
25	5	1713	0.05132718794743141
26	5	1196	0.05115098105808946
28	5	2558	0.07921482677037361
29	5	9750	0.322141944616936
30	5	106198	0.9999910063147538
31	5	73079	0.999999973564024
32	5	1185	0.12128277569534485
34	5	2418	0.23687082738235976
35	5	1239	0.08154201876309419
37	5	911	0.051155270379700135
38	5	2701	0.2836123059022916
39	5	525	0.09956472250508663
40	5	1484	0.09153182617452094
42	5	500	0.07679607013524847
43	5	6783	0.23451499155449917
44	5	4530	0.11835401055236272
45	5	5635	0.3159812212185831
46	5	4471	0.345790747847609
47	5	8901	0.40012968052687736
48	5	17326	0.5337953332502943
50	5	296	0.052318260456202914
51	5	39400	0.8176137864484451
52	5	125629	0.9953450445085851
55	5	4145	0.14178770815973585
56	5	3154	0.23571856608202357
57	5	4916	0.3759990990230875
59	5	823	0.0986183858814843
60	5	2824	0.11134575747330344
61	5	13117	0.8762472799838393
62	5	21607	0.8476467340016427
63	5	22276	0.8797557339457589
64	5	5070	0.20839346610868115
65	5	518110	0.99999999166195
67	5	1068	0.05924152562392093
69	5	526355	1.0
70	5	5806	0.42575131766491003
71	5	1322	0.1094246829388188
72	5	13859	0.26171034728099574
73	5	1451	0.1564585201009162
74	5	2624	0.21605942429324043
78	5	21019	0.7924476385699886
79	5	419078	0.9999995537204402
80	5	24301	0.7152656237139488
81	5	8179	0.4021015617378013
85	5	2932	0.20299025411283977
87	5	6446	0.41506855214414284
88	5	9283	0.1915869313057238
89	5	21699	0.3100793609013133
90	5	693	0.06738535721353489
96	5	1418	0.08940777350143247
99	5	2076	0.07729627351317636
104	5	9853	0.6612243925893607
105	5	44350	0.999733424232936
108	5	1598	0.10127354551319945
109	5	936	0.06534910232385416
113	5	2306	0.3952180392565582
114	5	2023	0.08474434336931302
117	5	1425	0.055488926115191406
119	5	1316	0.07456422655981931
121	5	1539	0.08048060756440722
122	5	2900	0.1438382620279397
125	5	14105	0.4611178529564022
126	5	9291	0.3163890394744062
128	5	568	0.06367359642303616
129	5	1695	0.051189185501857803
135	5	558	0.06559207848219994
136	5	9834	0.5759571587683747
137	5	1413	0.11860691938606349
139	5	143324	0.9873067481667799
141	5	1365	0.056923329436174064
143	5	1342	0.14457347630718131
2	6	2617	0.11316346029079749
4	6	1502	0.1346118902438389
5	6	382862	0.999999719343907
7	6	378818	0.9999999999350501
8	6	29317	0.9750666281902077
14	6	171182	0.9736279825790582
15	6	717004	0.9999980750677687
29	6	6567	0.23031103784460671
43	6	1394	0.053403070800696506
45	6	26443	0.8331942662252352
51	6	11500	0.39017254617387165
52	6	70424	0.9494928249092053
53	6	61356	0.9026437707399032
65	6	278743	0.9999394950698437
67	6	5532	0.27138784756360623
68	6	12766	0.5414130696981888
70	6	16970	0.8035362217398914
79	6	13293	0.3571652154580437
80	6	78643	0.9835443090773378
81	6	36425	0.900255662782562
82	6	3172	0.2354052147228819
89	6	22473	0.31916550684292044
119	6	1017	0.05812317813894974
127	6	1654	0.05736857897100345
139	6	97556	0.9480730601389218
141	6	1422	0.0592290487312539
142	6	1937	0.11351124052604378
2	7	206095	0.999943338127041
3	7	6880	0.355338688678869
5	7	3600	0.1260967299461262
6	7	305675	0.9999999951981337
8	7	97464	0.99999687951266
11	7	12331	0.5708808313776436
13	7	677	0.06676970293165696
14	7	38076	0.5510247828660231
15	7	525544	0.9999271425199422
16	7	995	0.09765921682681777
17	7	2007	0.15028699032981352
27	7	2734	0.08946196823468067
28	7	25935	0.5678441557211058
29	7	2627	0.09936822115257904
44	7	22589	0.46699541686379253
45	7	286252	0.9999999989702677
47	7	1235	0.06834921754772594
48	7	9780	0.34966213908743704
51	7	20219	0.581341484721678
52	7	42161	0.8313667571623772
53	7	99132	0.9772637369862619
56	7	2307	0.17846186452629342
57	7	752	0.06950404785430009
