src	trg	nij	score
1	0	6793	0.304623436968672
2	0	13844	0.5761195421747951
3	0	13299	0.6712233923025646
4	0	228332	0.9999999999997372
5	0	19295	0.5290814969232256
6	0	35705	0.8225562744919479
7	0	12439	0.4948749566746228
8	0	703	0.07379125708912182
9	0	3662	0.232677550886344
10	0	5842	0.234433967843652
11	0	7925	0.3135043331212223
12	0	234	0.058411810037499845
13	0	14660	0.6757859205586585
14	0	80616	0.9055506696386411
15	0	23650	0.3619195803418367
16	0	2183	0.194939725520058
17	0	7674	0.47636971073397083
18	0	21613	0.5344307429993672
19	0	11955	0.49031663347616183
20	0	2164	0.07772697551762708
21	0	12276	0.42067671942376705
22	0	8559	0.4839440117971072
23	0	384725	0.9999997150353198
24	0	33532	0.6090292382062084
25	0	18667	0.5116908056171592
26	0	36960	0.6855441299100654
27	0	41027	0.7749729556766423
28	0	68515	0.8567297669914847
29	0	8364	0.27021296191645416
30	0	57902	0.9920163871997508
31	0	1126	0.17069601127369072
33	0	15775	0.5412570520789488
34	0	8832	0.5069134648786939
35	0	10280	0.5883088918330087
36	0	2893	0.1223813368045964
37	0	19623	0.5602149430171445
38	0	563	0.07943533549222825
39	0	4568	0.4159362496781359
40	0	9738	0.44583848386985114
41	0	14394	0.6636605823893147
42	0	17882	0.7532526305037086
43	0	10986	0.2813180291155857
44	0	60776	0.7584973446252024
45	0	10832	0.53300051449568
46	0	30076	0.9653019055425215
47	0	23054	0.6588839185910114
48	0	12574	0.37910278399699715
50	0	4475	0.3933924284452135
51	0	21482	0.46081110988125284
52	0	60099	0.9573659551550942
53	0	2818	0.08584570995072383
54	0	833	0.0870136570158021
55	0	25927	0.48269727477341684
56	0	7101	0.42811984104810785
57	0	6485	0.31994921498758877
58	0	4890	0.2708282009877796
60	0	28730	0.6385885344976527
61	0	27785	0.9937911805320897
62	0	2706	0.17430036232239876
63	0	133185	0.9996518145655635
64	0	6459	0.19273210389402418
65	0	13094	0.3257284947006751
66	0	30332	0.6016233809178952
68	0	1874	0.07592341375837264
70	0	1910	0.14346563733744
71	0	5077	0.2627134572622264
72	0	24132	0.33742263701156316
73	0	448	0.07973712815822698
74	0	1402	0.10983449203338291
76	0	4384	0.2625204156411133
78	0	4070	0.3145983199626796
79	0	22574	0.4906340051107817
84	0	1555	0.06288002067261977
87	0	3369	0.2509713343963924
88	0	3803	0.07014364706166576
89	0	17793	0.2629867766570583
93	0	1541	0.0728465116290321
96	0	1285	0.0605435403758261
97	0	9088	0.25569026869334643
98	0	2476	0.06896807875541744
99	0	2650	0.08914996737367376
100	0	3468	0.12222460835108495
102	0	1837	0.050709138110490826
