src	trg	nij	score
3	0	1687	0.10069652059608025
4	0	454218	1.0
5	0	53211	0.9296166591853199
8	0	2313	0.19448806517038253
9	0	2240	0.1781379406800886
11	0	9146	0.37358736994800446
13	0	7875	0.4147437853130912
14	0	344822	0.9997921925393604
15	0	4340	0.09041745650652144
16	0	4280	0.3396911417565559
17	0	27677	0.8548463515720217
22	0	19611	0.6882494520551816
23	0	853997	0.9999999999995077
29	0	3345	0.1254287483261498
30	0	127648	0.9999835892829193
31	0	71061	0.9999948812378544
32	0	542	0.062220572153848464
33	0	3409	0.1298078653108573
34	0	4688	0.3163076113025898
38	0	3010	0.29081305964549464
39	0	819	0.08899113964911887
40	0	3790	0.20288096296107905
42	0	1001	0.07469220017722089
44	0	1694	0.05241279454207759
45	0	1507	0.120967096937584
46	0	34192	0.9463581484048613
47	0	9048	0.40681660104882855
48	0	31535	0.7311892819976404
49	0	4677	0.23421113181552244
51	0	76082	0.9581558264583974
52	0	320534	0.9999999973382764
56	0	1412	0.09382714178770069
57	0	2271	0.11106087296523115
60	0	8772	0.31373397584067086
61	0	14856	0.9259594982882935
62	0	114110	0.9999533508773517
63	0	250172	0.9999999886887041
64	0	2780	0.12899387711361843
65	0	63565	0.9348021460488417
66	0	1814	0.07369690948542118
67	0	2502	0.1577052992664506
69	0	76721	0.9986422313345412
70	0	1487	0.13247958208931554
72	0	3527	0.06369251849907809
74	0	16595	0.7612845142388411
78	0	16468	0.7076544092247983
79	0	38870	0.820974722498286
80	0	934	0.07095176237574374
83	0	576	0.06740639093055467
86	0	732	0.11786756271339627
87	0	2528	0.24811395233303402
88	0	2993	0.08568093513089248
89	0	17945	0.3073498311313183
96	0	940	0.0611144912773568
97	0	7556	0.2150303651136677
104	0	3808	0.36873854669444506
105	0	2491	0.2982928822774096
108	0	1058	0.07365085026808871
125	0	2757	0.12894836454709724
126	0	2343	0.10908633830845083
135	0	12806	0.8087749289613589
136	0	880	0.07275981447410806
137	0	3388	0.21180562230117717
139	0	70702	0.9470989199212234
143	0	1192	0.1388017676805927
146	0	2540	0.05007117424294727
18	1	273126	0.9999754470982813
19	1	6022	0.25354578650012305
20	1	222680	0.999965896668693
21	1	141768	0.9878954866187006
36	1	178574	0.9996067313495383
41	1	903222	1.0
43	1	8129	0.23264663261427887
47	1	1235	0.06869907504535822
49	1	1152	0.06356962489235618
50	1	231186	0.9999999999994071
56	1	216990	0.9999998902189838
57	1	15516	0.5534807106930586
58	1	357182	0.9999999999816235
59	1	152896	0.9999674815429642
60	1	26420	0.6792392140887246
71	1	17097	0.45532143163848604
72	1	8050	0.13950838244222785
7	2	5320	0.34096694737668276
15	2	336740	0.999471247870664
26	2	120611	0.9953634434680997
27	2	210600	0.9999292935008725
28	2	170732	0.9994710967244559
29	2	233637	0.999937272646676
40	2	1563	0.08923393025791615
44	2	228530	0.9994175557261941
45	2	213347	0.9999999966313086
53	2	22681	0.6337977894068714
66	2	96699	0.9840496570502643
68	2	744	0.05486125508462991
70	2	1401	0.12531650492184931
76	2	5977	0.30869009895349164
81	2	6308	0.3607132728131842
82	2	40255	0.9616535118619678
89	2	14385	0.25494977243342354
103	2	26104	0.6176560059821343
119	2	24600	0.796446027485441
144	2	128772	0.9999503268418491
7	3	971	0.0731983318998427
11	3	244659	0.9999979045961089
14	3	2705	0.06255284015582196
15	3	2393	0.05090515581603983
16	3	22550	0.8892662174900966
17	3	13356	0.6046334338685535
25	3	343251	0.9999995945941457
27	3	160138	0.9992578834994122
28	3	167653	0.9993917168053722
32	3	14055	0.8128334239147181
33	3	43256	0.8303972733603437
34	3	19862	0.8017250336911587
35	3	4134	0.299907462443851
39	3	4424	0.39600715198040504
40	3	69881	0.9855838335169981
44	3	328061	0.9999799020493526
47	3	19864	0.6830616843613619
48	3	358374	0.9999998451069714
51	3	11772	0.38518135824081
52	3	1228	0.0682919149625727
55	3	4005	0.12045127624765595
61	3	346	0.0583220940123057
66	3	21848	0.6033577774071393
67	3	58820	0.9834284265843146
68	3	859	0.06307025855348214
73	3	714	0.10637687983648902
81	3	16119	0.6821107940908118
102	3	5527	0.17186565097686268
118	3	13700	0.2665667435151198
0	4	492253	0.9999999999990371
5	4	91919	0.9901026408699887
6	4	14251	0.659271583096703
7	4	2223	0.1597785853717959
8	4	2588	0.21495385335085326
9	4	1857	0.1500856962277659
13	4	1061	0.0695230744436498
14	4	139124	0.9652886010727779
15	4	252105	0.9963431201910091
17	4	25174	0.8269719664814735
22	4	27623	0.8069065137604761
23	4	26482	0.5504155261651219
29	4	3620	0.13501690139151856
30	4	242685	0.9999999996527522
31	4	20172	0.9650072970113099
32	4	491	0.0565335223105371
33	4	3507	0.13328087106877706
34	4	2195	0.16298261354429933
36	4	2955	0.11859810670890902
38	4	2411	0.24056660640636585
40	4	2186	0.12255607875673336
45	4	1111	0.09066487186157335
46	4	57657	0.9930614800805951
47	4	7323	0.3446187859317422
48	4	4153	0.1583027509834034
49	4	4299	0.2175009760025295
50	4	578	0.06138897253828679
51	4	2009	0.07955196708896206
52	4	75797	0.988110190765101
56	4	1757	0.1153904356806108
57	4	1824	0.0902148393645712
60	4	5294	0.2031533041425807
61	4	3226	0.4295113162831429
62	4	1492	0.11807813398919642
63	4	39070	0.9332465512745669
64	4	3024	0.13949350188080845
65	4	39302	0.8139967618070292
69	4	244184	0.9999999997833072
70	4	2206	0.1901313124194668
71	4	2208	0.07532826669678327
72	4	3363	0.060822285673073795
74	4	13684	0.6927719176746108
78	4	15466	0.6848445118814926
79	4	104752	0.9907518557237115
80	4	722	0.055298956308061475
83	4	768	0.08885702514849902
86	4	854	0.13612419427141687
87	4	2362	0.23388850911375036
88	4	2736	0.07861921648377701
89	4	37454	0.5358393053273882
96	4	884	0.05757984756566781
97	4	5209	0.15368512876132057
104	4	6906	0.5663056819495691
105	4	3480	0.39050500124070164
108	4	861	0.060357616962123384
111	4	1322	0.0528509531982988
121	4	816	0.05405339083094529
125	4	2649	0.12422279665757308
126	4	2243	0.10468166429417647
135	4	11521	0.7740507536979684
136	4	840	0.06956961330101108
137	4	4369	0.2643507962163837
139	4	41271	0.8188504549344775
143	4	8164	0.6419905313493273
0	5	19926	0.6405712530568564
4	5	38170	0.9782818606652381
6	5	291040	0.9999999999541471
7	5	15950	0.7145951668564607
8	5	8488	0.5485395046735673
9	5	821	0.0693509235849924
13	5	2849	0.17599042440593138
14	5	19464	0.3721464408216213
15	5	683975	0.9999998573174664
17	5	1199	0.07969233255509378
22	5	1875	0.1050731720279261
23	5	34828	0.6508687455199063
29	5	4562	0.1670763369077023
30	5	42429	0.9716549087585458
31	5	94818	0.999999931886248
34	5	885	0.06919412560977645
38	5	5179	0.44666687211997513
39	5	764	0.08326944340496412
40	5	1255	0.0722988585128359
45	5	9326	0.5505610587068053
46	5	972	0.07899256726951709
47	5	3058	0.16163047523217067
48	5	6433	0.23435298719702558
51	5	1735	0.06908393511047306
52	5	4594	0.23264248168554025
56	5	1125	0.0754919573400511
57	5	1628	0.08092188727312954
60	5	1543	0.06400991945828471
61	5	9652	0.8147168054826353
62	5	15145	0.7222562494147642
63	5	40013	0.9375083179397878
64	5	3597	0.16365882186026315
65	5	594719	0.9999999999991938
69	5	386537	0.9999999999999999
70	5	15169	0.766917571158757
74	5	3330	0.24896090392433579
78	5	4497	0.28451287726391006
79	5	86660	0.979007256429774
80	5	37430	0.9491641051423363
81	5	5888	0.3413544102259255
82	5	7129	0.4355704219802755
83	5	1212	0.1366037734176545
87	5	1931	0.19569368100324103
88	5	2200	0.06371653547715295
89	5	33167	0.49311297177453195
97	5	5926	0.17291445186872545
103	5	3657	0.12568097900179587
104	5	507	0.059329410466842925
105	5	862	0.11528028421326708
107	5	4010	0.17780373286012252
108	5	1361	0.0937331276865937
109	5	2260	0.1488716619037186
111	5	2185	0.08584576970398483
114	5	1367	0.06326634374035522
119	5	1363	0.08400245658274907
121	5	2302	0.14514179537654526
125	5	2530	0.11898643488717542
126	5	1578	0.07483547933219403
135	5	6821	0.5847124298713908
137	5	2682	0.17170023885116958
139	5	127021	0.9951303113668143
144	5	10493	0.5428083236275187
146	5	12817	0.2284794382815456
147	5	1155	0.23377109469472046
4	6	16558	0.8076811766581491
5	6	205779	0.999973694982511
7	6	172766	0.9999993255298505
8	6	2529	0.21060697492207803
11	6	3171	0.14955648172244518
13	6	1287	0.08370009052363514
14	6	53247	0.7211065152652536
15	6	457661	0.9999681284436114
29	6	2559	0.09743824915661525
39	6	1412	0.1484739058672475
45	6	1325	0.10716690581232013
48	6	4580	0.1730950358386042
51	6	2087	0.08251048783923665
52	6	9200	0.41185572023537553
53	6	4442	0.17813151742227762
61	6	638	0.10490472522823047
64	6	1448	0.06939286823169166
65	6	291842	0.9999977149694816
68	6	1955	0.13783864442652205
70	6	4073	0.3226730133546297
79	6	1605	0.06819181593529688
80	6	26588	0.8787438409803349
81	6	17581	0.7136256893274194
82	6	712	0.05542041159357847
89	6	6822	0.13020460330206274
139	6	8614	0.2987557384381473
144	6	1641	0.11495845072796873
2	7	8222	0.3860643269024472
3	7	2565	0.149053169544906
4	7	3766	0.3115307032611897
5	7	10302	0.3994981084496658
6	7	178667	0.9999992713715793
8	7	39702	0.9766736036013328
11	7	5653	0.2509313121225274
13	7	2245	0.14145206335629745
14	7	26749	0.4727323739688696
15	7	383093	0.9998186774139152
28	7	51368	0.8920704133497235
29	7	2001	0.07702895277079636
39	7	2863	0.2782540121193582
40	7	1690	0.09612717670321402
44	7	74046	0.9067018572990362
45	7	166816	0.9999997009936492
47	7	1407	0.07788740866927524
48	7	10478	0.35286107826589586
51	7	5212	0.1935850143398231
52	7	41685	0.9111373492633533
53	7	9615	0.3462174118032114
61	7	380	0.06386758597328024
65	7	165847	0.9992799132980884
67	7	16127	0.6706046991513613
68	7	64890	0.9933289570570693
70	7	6556	0.46614428615865056
76	7	7373	0.36588876068904785
77	7	2118	0.11415789268398424
80	7	863	0.06573844691250175
81	7	117488	0.9998106288377012
82	7	37726	0.9528269023309472
86	7	576	0.09396397564252745
87	7	2150	0.2153318308551977
89	7	7540	0.14288814587644616
90	7	3536	0.2861675640916038
91	7	3268	0.2611854087296466
102	7	16985	0.44028919306634173
112	7	1915	0.22465695182889267
113	7	211	0.05112292426311238
118	7	61951	0.7551822479296375
119	7	16202	0.6488131908180896
121	7	1349	0.08778325455972413
122	7	6879	0.2705612664550996
139	7	7112	0.2539426355770814
142	7	6415	0.34608613728197724
144	7	9040	0.49034628968160765
4	8	626	0.06009919293236321
5	8	9229	0.3666850491681981
6	8	1790	0.1260959605302563
7	8	39251	0.9552067105301764
9	8	19674	0.8231432134252492
26	8	1953	0.0818890227616913
29	8	77744	0.9570553342149066
45	8	135545	0.9999943547350646
47	8	1382	0.07655750781525328
64	8	36291	0.8368876243817682
65	8	241293	0.9999763740844678
70	8	287857	0.999999999999944
72	8	6556	0.11516526071592093
73	8	445	0.06768641585959001
82	8	208845	0.9999999818277551
83	8	9807	0.6966844684770653
84	8	1386	0.06410603610213095
103	8	74079	0.9357568381795732
119	8	872	0.05458179406906838
138	8	1603	0.0818585108160268
139	8	94337	0.9804650854001116
144	8	47379	0.9717857115918277
1	9	14202	0.4531033152330226
4	9	629	0.06037839445673965
8	9	18822	0.8295747983520635
10	9	2053	0.061399810678010924
19	9	22069	0.6586251317962188
20	9	13584	0.4534741224542179
21	9	4964	0.1406271916098526
22	9	35768	0.8815509170817806
29	9	66653	0.9324245198621373
31	9	4622	0.5328819332312209
33	9	2851	0.10976800164794909
34	9	1940	0.14549292555668947
36	9	5161	0.19792979358370721
41	9	1779	0.10780321446408236
43	9	442473	0.9999997500348154
47	9	2563	0.1373485030743633
49	9	978	0.05423170257517673
50	9	7690	0.5706200883571153
56	9	5731	0.3298987940491479
57	9	63843	0.9648125764833427
59	9	15424	0.6354176506013722
60	9	22395	0.6183404372212544
64	9	69196	0.9691087242186691
65	9	306035	0.999998822287535
71	9	8262	0.25418059388385006
72	9	5928	0.10472965283364255
83	9	162194	0.9999999993670389
84	9	8354	0.3295887055202352
93	9	1670	0.08735079406687085
94	9	1431	0.09734374848323823
95	9	5616	0.24424981482270358
96	9	2700	0.16573996594756746
103	9	2893	0.10079160151658462
110	9	2252	0.10214975431805517
115	9	2977	0.16336136706229187
117	9	41153	0.7781571076311037
131	9	2224	0.12703014587642958
133	9	2414	0.17079869329288244
134	9	16108	0.5124068043915536
138	9	2358	0.11807283865811113
139	9	159470	0.998790309518555
19	10	423795	0.9999999997965727
21	10	255913	0.9996977406777593
29	10	10413	0.34138975099648095
41	10	47179	0.9531402713026889
43	10	850380	0.9999999999999605
50	10	4332	0.37847213215123265
64	10	459575	0.9999999999835341
84	10	210401	0.9999718727916612
95	10	6196	0.2658190359485174
103	10	6520	0.21301423738769043
117	10	1815	0.06392575965019742
138	10	9088	0.38421498976537194
0	11	2312	0.11162036649984486
3	11	169946	0.9999853996443283
4	11	1215	0.11336614340732809
5	11	1901	0.08969100153350651
6	11	6578	0.391007602564847
7	11	861	0.0651808442036571
13	11	303048	0.9999999997781149
14	11	74060	0.8312203848754429
15	11	76579	0.8138923917508932
16	11	8325	0.5544440689144715
17	11	72458	0.9939721703446749
28	11	28654	0.7098507616370476
29	11	1738	0.0672512583449939
32	11	3226	0.3180571154946046
33	11	18534	0.5311918926079371
34	11	3715	0.2601013451191686
38	11	1650	0.17160501910472437
39	11	292854	1.0
40	11	1701	0.09672178577200696
44	11	2049	0.0630458516858442
45	11	628	0.05229799107490396
47	11	17963	0.6460804774102444
48	11	497751	0.999999999786694
51	11	348545	0.9999997404491798
52	11	31911	0.8426757074506293
53	11	17328	0.5355158842526919
61	11	17924	0.9570057126352878
67	11	220946	0.9999999051631346
68	11	7324	0.4267566824037894
70	11	7857	0.5288152817444569
74	11	1303	0.10591773920618963
78	11	2091	0.14407583527546464
79	11	1776	0.07517912494371526
80	11	10331	0.5578616860931522
85	11	18175	0.6606864117836198
87	11	3679	0.33978922648844123
